00,00,00,00,00,00,00,00,00,00,00,00,00,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01
01,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,01
01,17,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,17,01
01,17,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,17,01
01,17,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,17,01
01,17,93,93,93,07,07,07,07,07,07,07,07,96,96,96,96,07,07,07,07,07,07,07,07,93,93,93,17,01
01,17,93,93,93,07,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,07,93,93,93,17,01
01,17,93,93,93,07,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,07,93,93,93,17,01
01,17,93,93,93,07,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,07,93,93,93,17,01
01,17,93,93,93,07,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,07,93,93,93,17,01
01,17,93,93,93,07,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,07,93,93,93,17,01
01,17,93,93,93,07,96,96,96,96,07,07,07,07,07,07,07,07,07,07,96,96,96,96,07,93,93,93,17,01
01,17,93,93,93,07,96,96,96,96,07,96,96,96,96,96,96,96,96,07,96,96,96,96,07,93,93,93,17,01
01,17,93,93,93,96,96,96,96,96,07,96,96,96,96,96,96,96,96,07,96,96,96,96,96,93,93,93,17,01
01,17,93,93,93,96,96,96,96,96,07,96,96,07,07,07,07,96,96,07,96,96,96,96,96,93,93,93,17,01
01,17,93,93,93,96,96,96,96,96,07,96,96,07,93,93,07,96,96,07,96,96,96,96,96,93,93,93,17,01
01,17,93,93,93,96,96,96,96,96,07,96,96,07,07,07,07,96,96,07,96,96,96,96,96,93,93,93,17,01
01,17,93,93,93,07,96,96,96,96,07,96,96,96,96,96,96,96,96,07,96,96,96,96,07,93,93,93,17,01
01,17,93,93,93,07,96,96,96,96,07,96,96,96,96,96,96,96,96,07,96,96,96,96,07,93,93,93,17,01
01,17,93,93,93,07,96,96,96,96,07,07,07,07,07,07,07,07,07,07,96,96,96,96,07,93,93,93,17,01
01,17,93,93,93,07,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,07,93,93,93,17,01
01,17,93,93,93,07,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,07,93,93,93,17,01
01,17,93,93,93,07,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,07,93,93,93,17,01
01,17,93,93,93,07,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,07,93,93,93,17,01
01,17,93,93,93,07,07,07,07,07,07,07,07,96,96,96,96,07,07,07,07,07,07,07,07,93,93,93,17,01
01,17,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,17,01
01,17,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,17,01
01,17,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,17,01
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,01
01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01
